player,comp,season,Progressive Passes,Key passes,Pass completion %,Shot creating actions p 90,1/3,Matches Played,Avg Mins per Match
Collin Quaner,Premier League,2017-18,44.0,17.0,71.0,2.74,26.0,26,49.23076923076923
Danny Williams,Premier League,2017-18,27.0,4.0,75.6,0.96,29.0,20,56.2
Dean Whitehead,Premier League,2017-18,1.0,0.0,84.3,1.27,3.0,4,17.75
Elias Kachunga,Premier League,2017-18,24.0,10.0,62.8,1.96,6.0,19,69.94736842105263
Florent Hadergjonaj,Premier League,2017-18,62.0,26.0,64.2,2.2,41.0,23,72.78260869565217
Joe Lolley,Premier League,2017-18,11.0,1.0,71.2,2.44,9.0,6,36.833333333333336
Jonas Lössl,Premier League,2017-18,2.0,3.0,59.4,0.21,50.0,38,90.0
Jonathan Hogg,Premier League,2017-18,138.0,9.0,84.8,1.39,110.0,30,79.93333333333334
Kasey Palmer,Premier League,2017-18,6.0,1.0,74.1,2.65,4.0,4,42.5
Laurent Depoitre,Premier League,2017-18,21.0,14.0,56.6,1.58,20.0,33,55.15151515151515
Martin Cranie,Premier League,2017-18,1.0,0.0,79.1,0.0,5.0,3,60.0
Mathias Jørgensen,Premier League,2017-18,120.0,9.0,76.5,0.5,95.0,38,90.0
Michael Hefele,Premier League,2017-18,1.0,0.0,80.0,0.0,1.0,2,16.5
Philip Billing,Premier League,2017-18,26.0,2.0,72.3,0.71,22.0,16,47.75
Rajiv van La Parra,Premier League,2017-18,65.0,14.0,71.3,2.06,20.0,33,64.75757575757575
Scott Malone,Premier League,2017-18,51.0,10.0,69.5,1.85,32.0,22,50.86363636363637
Steve Mounié,Premier League,2017-18,27.0,17.0,60.6,1.46,22.0,28,66.25
Terence Kongolo,Premier League,2017-18,36.0,3.0,67.4,1.03,32.0,13,80.6923076923077
Tom Ince,Premier League,2017-18,60.0,18.0,75.0,2.46,27.0,33,74.3030303030303
Tommy Smith,Premier League,2017-18,56.0,15.0,69.1,1.61,45.0,24,79.33333333333333
Adrien Silva,Premier League,2017-18,55.0,7.0,80.4,2.13,49.0,12,63.416666666666664
Aleksandar Dragović,Premier League,2017-18,27.0,0.0,83.4,0.35,18.0,11,69.9090909090909
Andy King,Premier League,2017-18,13.0,2.0,75.6,1.34,17.0,11,48.81818181818182
Ben Chilwell,Premier League,2017-18,78.0,21.0,71.1,2.24,59.0,24,77.20833333333333
Ben Hamer,Premier League,2017-18,0.0,0.0,64.0,0.0,4.0,4,68.75
Christian Fuchs,Premier League,2017-18,85.0,18.0,68.7,1.87,77.0,25,76.84
Daniel Amartey,Premier League,2017-18,14.0,0.0,77.1,0.37,14.0,8,60.875
Danny Simpson,Premier League,2017-18,54.0,4.0,75.1,0.59,57.0,28,82.35714285714286
Demarai Gray,Premier League,2017-18,37.0,27.0,70.9,3.08,32.0,35,48.48571428571429
Eldin Jakupović,Premier League,2017-18,0.0,0.0,62.5,1.0,1.0,2,90.0
Fousseni Diabaté,Premier League,2017-18,18.0,7.0,76.8,3.68,9.0,14,41.92857142857143
Hamza Choudhury,Premier League,2017-18,16.0,1.0,82.2,0.48,21.0,8,47.25
Harry Maguire,Premier League,2017-18,178.0,18.0,77.4,1.29,128.0,38,90.0
Harvey Barnes,Premier League,2017-18,2.0,0.0,85.7,9.0,0.0,3,3.3333333333333335
Islam Slimani,Premier League,2017-18,7.0,2.0,67.2,3.25,1.0,12,20.75
Jamie Vardy,Premier League,2017-18,31.0,32.0,57.2,2.05,14.0,37,87.75675675675676
Kasper Schmeichel,Premier League,2017-18,6.0,1.0,53.8,0.12,22.0,33,89.84848484848484
Kelechi Iheanacho,Premier League,2017-18,26.0,11.0,77.3,3.47,15.0,21,39.523809523809526
Leonardo Ulloa,Premier League,2017-18,2.0,1.0,85.7,0.0,1.0,4,5.5
Marc Albrighton,Premier League,2017-18,114.0,46.0,59.4,2.8,98.0,34,74.6470588235294
Matty James,Premier League,2017-18,28.0,2.0,81.0,0.91,27.0,13,76.38461538461539
Riyad Mahrez,Premier League,2017-18,190.0,57.0,73.3,4.36,122.0,36,81.94444444444444
Shinji Okazaki,Premier League,2017-18,24.0,15.0,72.0,2.38,24.0,27,49.03703703703704
Vicente Iborra,Premier League,2017-18,79.0,8.0,81.2,1.4,54.0,19,74.21052631578948
Wes Morgan,Premier League,2017-18,50.0,5.0,80.7,0.45,29.0,32,88.03125
Wilfred Ndidi,Premier League,2017-18,136.0,12.0,75.3,1.21,117.0,33,87.75757575757575
Yohan Benalouane,Premier League,2017-18,1.0,0.0,63.2,2.0,0.0,1,90.0
Adam Lallana,Premier League,2017-18,33.0,7.0,83.8,7.38,18.0,12,20.333333333333332
Alberto Moreno,Premier League,2017-18,59.0,15.0,81.3,2.42,44.0,16,79.125
Alex Oxlade-Chamberlain,Premier League,2017-18,120.0,34.0,76.5,4.46,70.0,32,46.65625
Andrew Robertson,Premier League,2017-18,150.0,24.0,83.5,2.41,121.0,22,88.18181818181819
Ben Woodburn,Premier League,2017-18,0.0,0.0,87.5,0.0,0.0,1,7.0
Daniel Sturridge,Premier League,2017-18,16.0,13.0,79.2,4.18,10.0,9,47.888888888888886
Danny Ings,Premier League,2017-18,9.0,3.0,59.5,2.36,3.0,8,33.375
Dejan Lovren,Premier League,2017-18,98.0,6.0,88.3,0.89,97.0,29,73.34482758620689
Divock Origi,Premier League,2017-18,0.0,0.0,50.0,0.0,0.0,1,10.0
Dominic Solanke,Premier League,2017-18,15.0,15.0,73.6,3.33,8.0,21,28.38095238095238
Emre Can,Premier League,2017-18,137.0,25.0,85.2,2.54,136.0,26,80.42307692307692
Georginio Wijnaldum,Premier League,2017-18,116.0,22.0,89.2,2.11,94.0,33,72.33333333333333
James Milner,Premier League,2017-18,219.0,34.0,81.6,4.01,208.0,32,55.46875
Joe Gomez,Premier League,2017-18,154.0,17.0,80.9,1.47,137.0,23,82.69565217391305
Jordan Henderson,Premier League,2017-18,249.0,25.0,83.6,2.61,245.0,27,80.4074074074074
Joël Matip,Premier League,2017-18,108.0,5.0,88.6,1.08,94.0,25,79.88
Loris Karius,Premier League,2017-18,0.0,0.0,72.2,0.21,3.0,19,90.0
Marko Grujić,Premier League,2017-18,1.0,1.0,78.6,5.63,0.0,3,5.333333333333333
Mohamed Salah,Premier League,2017-18,97.0,62.0,73.2,4.98,42.0,36,80.75
Nathaniel Clyne,Premier League,2017-18,5.0,1.0,76.6,1.03,7.0,3,58.0
Philippe Coutinho,Premier League,2017-18,145.0,40.0,74.7,7.46,99.0,14,79.21428571428571
