rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
688,Adrián,ESP,GK,Betis,ESP-La Liga,37.0,1987.0,19,1710,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0,0.0,0,0.0,0,0.0,0.0,474.0,619.0,76.6,8309.0,97.4,98.9,49.8,0.0,4.0,0.0,568.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,,0.0,,,66.7,0.0,0.0,0,2024-25,39.0
689,Aitor Ruibal,ESP,"DF,FW",Betis,ESP-La Liga,28.0,1996.0,29,1313,1,3,4,1,0,0.9,0.9,21.0,50.0,0.07,0.21,32.0,23.0,53.2,5.0,15.0,14.0,40.0,1.0,0,0.0,0,0.0,0,0.0,0.0,495.0,612.0,80.9,3113.0,93.5,82.8,47.2,20.0,36.0,12.0,45.0,27.0,51.9,13.0,21.0,25.0,7.0,27.0,1,16.0,25.0,1.1,0.06,0.25,35.0,2.46,0.27,0,2024-25,30.0
690,Antony,BRA,FW,Betis,ESP-La Liga,24.0,2000.0,17,1362,5,2,7,5,0,2.9,2.9,94.0,67.0,0.33,0.13,25.0,11.0,36.4,1.0,11.0,10.0,9.0,1.0,0,0.0,0,0.0,0,0.0,0.0,622.0,768.0,81.0,2211.0,88.5,77.1,54.7,36.0,34.0,43.0,9.0,63.0,38.1,33.0,94.0,77.0,30.0,53.0,5,43.0,39.5,2.84,0.12,0.29,26.3,5.09,0.6,0,2024-25,26.0
691,Assane Diao,SEN,FW,Betis,ESP-La Liga,18.0,2005.0,10,277,1,2,3,1,0,0.8,0.8,9.0,1.0,0.32,0.65,5.0,3.0,44.4,0.0,3.0,0.0,3.0,0.0,0,0.0,0,0.0,0,0.0,0.0,49.0,66.0,74.2,139.0,83.7,75.0,100.0,8.0,2.0,1.0,4.0,11.0,18.2,9.0,9.0,3.0,3.0,15.0,1,7.0,14.3,2.27,0.14,1.0,57.1,2.28,0.65,0,2024-25,21.0
692,Carlos Guirao,ESP,MF,Betis,ESP-La Liga,21.0,2003.0,2,110,0,0,0,0,0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,3.0,66.7,1.0,0.0,3.0,2.0,0.0,0,0.0,0,0.0,0,0.0,0.0,36.0,46.0,78.3,117.0,90.5,92.3,60.0,0.0,3.0,0.0,3.0,1.0,100.0,0.0,1.0,1.0,0.0,1.0,0,0.0,,0.0,,,66.7,0.0,0.0,0,2024-25,23.0
693,Cucho,COL,FW,Betis,ESP-La Liga,25.0,1999.0,15,1139,5,1,6,5,0,3.8,3.8,27.0,34.0,0.4,0.08,15.0,10.0,54.5,1.0,12.0,7.0,4.0,0.0,0,0.0,0,0.0,0,0.0,0.0,223.0,310.0,71.9,867.0,77.5,70.7,71.9,14.0,20.0,10.0,5.0,26.0,65.4,9.0,27.0,9.0,14.0,46.0,5,43.0,25.6,3.4,0.12,0.45,45.3,3.64,0.63,0,2024-25,27.0
694,Cédric Bakambu,COD,FW,Betis,ESP-La Liga,33.0,1991.0,25,710,2,2,4,2,0,3.2,3.2,9.0,14.0,0.25,0.25,6.0,4.0,42.9,2.0,11.0,0.0,5.0,0.0,0,0.0,0,0.0,0,0.0,0.0,84.0,126.0,66.7,218.0,76.9,53.6,50.0,8.0,9.0,5.0,6.0,7.0,14.3,5.0,9.0,4.0,7.0,28.0,2,24.0,45.8,3.04,0.08,0.18,31.6,1.39,0.38,0,2024-25,35.0
695,Diego Llorente,ESP,DF,Betis,ESP-La Liga,30.0,1993.0,30,2519,2,0,2,2,0,1.5,1.5,7.0,81.0,0.07,0.0,36.0,20.0,65.8,20.0,9.0,43.0,154.0,1.0,0,0.0,0,0.0,0,0.0,0.0,1383.0,1595.0,86.7,8921.0,91.3,93.9,59.0,6.0,68.0,3.0,235.0,9.0,66.7,2.0,7.0,8.0,1.0,11.0,2,11.0,36.4,0.39,0.18,0.5,63.1,0.54,0.07,0,2024-25,33.0
696,Ezequiel Ávila,ARG,FW,Betis,ESP-La Liga,30.0,1994.0,19,677,2,0,2,2,0,1.5,1.5,12.0,18.0,0.27,0.0,8.0,3.0,40.0,0.0,4.0,2.0,8.0,0.0,0,0.0,0,0.0,0,0.0,0.0,166.0,238.0,69.7,614.0,80.9,71.8,53.3,15.0,1.0,11.0,7.0,11.0,45.5,5.0,12.0,7.0,4.0,23.0,2,20.0,50.0,2.66,0.1,0.2,42.9,4.12,0.4,0,2024-25,32.0
697,Fran Vieites,ESP,GK,Betis,ESP-La Liga,25.0,1999.0,4,360,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0.0,76.0,119.0,63.9,1345.0,100.0,100.0,35.8,0.0,2.0,0.0,97.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,1.0,100.0,0.25,0.0,0.0,100.0,0.0,0.0,0,2024-25,27.0
698,Giovani Lo Celso,ARG,"MF,FW",Betis,ESP-La Liga,28.0,1996.0,25,1457,8,3,11,6,2,4.8,2.4,26.0,132.0,0.49,0.19,34.0,22.0,68.0,2.0,12.0,5.0,3.0,1.0,0,0.0,0,0.0,0,0.0,0.0,766.0,970.0,79.0,4308.0,88.2,81.5,54.8,43.0,89.0,41.0,7.0,55.0,38.2,27.0,26.0,31.0,9.0,38.0,8,31.0,51.6,1.91,0.19,0.38,31.3,5.74,0.56,0,2024-25,30.0
699,Hector Bellerin,ESP,DF,Betis,ESP-La Liga,29.0,1995.0,9,580,0,2,2,0,0,0.2,0.2,3.0,24.0,0.0,0.31,13.0,7.0,58.8,3.0,2.0,6.0,21.0,0.0,0,0.0,0,0.0,0,0.0,0.0,270.0,328.0,82.3,1594.0,91.5,81.3,47.6,8.0,16.0,4.0,25.0,8.0,75.0,2.0,3.0,4.0,0.0,6.0,0,1.0,100.0,0.16,0.0,0.0,46.2,1.86,0.31,0,2024-25,31.0
