league,season,team,player,nation,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Premier League,2020-21,Everton,Lucas Digne,FRA,27,1993,30,30,2681,29.8,0,7,7,0,0,0,2,1,0.0,0.23,0.23,0.0,0.23
Premier League,2020-21,Everton,Nathan Broadhead,WAL,22,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,Richarlison,BRA,23,1997,34,33,2861,31.8,7,3,10,6,1,1,4,1,0.22,0.09,0.31,0.19,0.28
Premier League,2020-21,Everton,Séamus Coleman,IRL,31,1988,25,18,1613,17.9,0,3,3,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17
Premier League,2020-21,Everton,Theo Walcott,ENG,31,1989,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,Tom Davies,ENG,22,1998,25,17,1423,15.8,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
Premier League,2020-21,Fulham,Aboubakar Kamara,MTN,25,1995,11,2,315,3.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Fulham,Ademola Lookman,NGA,22,1997,34,31,2747,30.5,4,4,8,4,0,1,5,0,0.13,0.13,0.26,0.13,0.26
Premier League,2020-21,Fulham,Andre-Frank Zambo Anguissa,CMR,24,1995,36,29,2587,28.7,0,3,3,0,0,0,6,0,0.0,0.1,0.1,0.0,0.1
Premier League,2020-21,Fulham,Antonee Robinson,USA,22,1997,28,24,2162,24.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Fulham,Bobby De Cordova-Reid,JAM,27,1993,33,28,2372,26.4,5,2,7,5,0,0,7,0,0.19,0.08,0.27,0.19,0.27
Premier League,2020-21,Fulham,Fabio Carvalho,POR,17,2002,4,3,255,2.8,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35
Premier League,2020-21,Fulham,Harrison Reed,ENG,25,1995,31,26,2247,25.0,0,2,2,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08
Premier League,2020-21,Fulham,Ivan Cavaleiro,POR,26,1993,36,27,2472,27.5,3,0,3,2,1,2,2,0,0.11,0.0,0.11,0.07,0.07
Premier League,2020-21,Fulham,Joe Bryan,ENG,26,1993,16,7,669,7.4,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13
Premier League,2020-21,Fulham,Josh Onomah,ENG,23,1997,11,4,374,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Fulham,Kenny Tete,NED,24,1995,22,18,1481,16.5,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
Premier League,2020-21,Fulham,Mario Lemina,GAB,26,1993,28,19,1703,18.9,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05
