player,league,season,xg,np_xg,xa,key_passes,xg_chain,xg_buildup
Romaine Sawyers,Premier League,2020-21,0.14990630373358727,0.14990630373358727,0.6822901964187622,6,1.8432445358484983,1.1865136194974184
Sam Field,Premier League,2020-21,0.0,0.0,0.0,0,0.0,0.0
Sam Johnstone,Premier League,2020-21,0.0,0.0,0.11011700332164764,1,2.6272154795005918,2.517098476178944
Semi Ajayi,Premier League,2020-21,1.7337960172444582,1.7337960172444582,0.51046640612185,7,4.629277691245079,3.112332258373499
Aaron Cresswell,Premier League,2020-21,0.8834640998393297,0.8834640998393297,7.390939770266414,58,10.620282838121057,8.392438812181354
Andriy Yarmolenko,Premier League,2020-21,0.3100073020905256,0.3100073020905256,0.7814440317451954,5,1.4537307061254978,0.9313923791050911
Angelo Ogbonna,Premier League,2020-21,1.6960741942748427,1.6960741942748427,0.4284708108752966,4,4.007841985672712,3.785347294062376
Arthur Masuaku,Premier League,2020-21,0.4290253957733512,0.4290253957733512,2.5958894677460194,11,4.273893190547824,1.7911398131400347
Ben Johnson,Premier League,2020-21,0.4844093881547451,0.4844093881547451,0.38586561009287834,4,1.4439897667616606,0.6678877267986536
Craig Dawson,Premier League,2020-21,2.7360610645264387,2.7360610645264387,0.05446829833090305,2,3.0050550205633044,3.0050550205633044
Darren Randolph,Premier League,2020-21,0.0,0.0,0.0,0,0.2751617059111595,0.2751617059111595
Declan Rice,Premier League,2020-21,3.191765470430255,1.669427564367652,1.9789338074624538,23,10.661635948345065,9.188757190480828
Fabián Balbuena,Premier League,2020-21,1.0978235751390457,1.0978235751390457,0.0,0,2.2187997102737427,1.9963050186634064
Felipe Anderson,Premier League,2020-21,0.0,0.0,0.0,0,0.05036870017647743,0.05036870017647743
Issa Diop,Premier League,2020-21,0.9535319805145264,0.9535319805145264,0.017779599875211716,1,2.147920305840671,1.8317228211089969
Jarrod Bowen,Premier League,2020-21,7.988896971568465,7.988896971568465,5.229475359432399,29,14.171945477835834,3.0969946375116706
Jesse Lingard,Premier League,2020-21,5.249173816293478,3.7268305122852325,2.329291282221675,18,10.09571509808302,5.690431963652372
Lukasz Fabianski,Premier League,2020-21,0.0,0.0,0.0,0,1.276375892572105,1.276375892572105
Manuel Lanzini,Premier League,2020-21,0.9710571253672242,0.9710571253672242,1.0017916820943356,11,3.2326610730960965,1.5795046957209706
Mark Noble,Premier League,2020-21,0.0526794008910656,0.0526794008910656,0.17633140180259943,5,0.7763154096901417,0.7236361093819141
Michail Antonio,Premier League,2020-21,14.138836644589901,14.138836644589901,3.194422224536538,27,19.27381713874638,2.7705205250531435
Pablo Fornals,Premier League,2020-21,6.749409511685371,6.749409511685371,2.5329946326091886,31,16.320038326084614,8.427109494805336
Ryan Fredericks,Premier League,2020-21,0.21433740481734276,0.21433740481734276,1.298734413459897,12,1.0619318224489689,0.308016499504447
Said Benrahma,Premier League,2020-21,2.455936680547893,2.455936680547893,5.114552590996027,27,10.364191408269107,3.779580977745354
Sébastien Haller,Premier League,2020-21,2.5546688437461853,2.5546688437461853,1.1348687317222357,10,3.660330254584551,0.8529492989182472
Tomas Soucek,Premier League,2020-21,8.98297917842865,8.98297917842865,2.444754745811224,18,16.998424904420972,8.716955738142133
Vladimir Coufal,Premier League,2020-21,1.3991486877202988,1.3991486877202988,6.389940650202334,45,14.980891424231231,8.577498153783381
Adama Traoré,Premier League,2020-21,2.0761523256078362,2.0761523256078362,5.27167169097811,55,9.475093208253384,3.0063984766602516
Conor Coady,Premier League,2020-21,1.4450342124328017,1.4450342124328017,0.19623779505491257,3,5.043202399276197,4.874850797466934
Daniel Podence,Premier League,2020-21,2.744376480579376,2.744376480579376,1.839432805776596,21,6.7250947672873735,2.910880086943507
Fabio Silva,Premier League,2020-21,6.136157924309373,5.374989124014974,1.1684247087687254,11,5.087810844182968,1.0827531218528748
Fernando Marçal,Premier League,2020-21,0.07455459795892239,0.07455459795892239,0.13980720099061728,4,2.079630693420768,1.9003007970750332
John Ruddy,Premier League,2020-21,0.0,0.0,0.0,0,0.0,0.0
Jonny,Premier League,2020-21,0.05170470103621483,0.05170470103621483,0.05090080015361309,2,0.3334942162036896,0.2308886107057333
João Moutinho,Premier League,2020-21,0.5027753990143538,0.5027753990143538,1.6768403090536594,46,7.028498159721494,6.2302312003448606
Ki-Jana Hoever,Premier League,2020-21,0.05745600163936615,0.05745600163936615,0.1842530034482479,3,1.222544588148594,1.0209383219480515
Leander Dendoncker,Premier League,2020-21,3.3815979287028313,3.3815979287028313,0.5813325960189104,17,8.177474899217486,5.363242764025927
Max Kilman,Premier League,2020-21,0.30801629833877087,0.30801629833877087,0.31305780448019505,5,2.0295231211930513,1.8352266997098923
Morgan Gibbs-White,Premier League,2020-21,0.8142993114888668,0.8142993114888668,0.4069434069097042,8,1.7168070655316114,0.83146240003407
Nélson Semedo,Premier League,2020-21,1.3097365982830524,1.3097365982830524,0.9027981068938971,20,7.68634950555861,6.196272294968367
Oskar Buur,Premier League,2020-21,0.0,0.0,0.0,0,0.0,0.0
Owen Otasowie,Premier League,2020-21,0.7453418513759971,0.7453418513759971,0.3887690007686615,2,1.3827527407556772,0.30153270810842514
Patrick Cutrone,Premier League,2020-21,0.07145749777555466,0.07145749777555466,0.0,0,0.07145749777555466,0.0
Pedro Neto,Premier League,2020-21,5.494994781911373,5.494994781911373,5.738266875967383,61,11.516653075814247,4.2069341987371445
Rayan Ait Nouri,Premier League,2020-21,0.5121663315221667,0.5121663315221667,0.7904388774186373,14,2.7287225760519505,2.28505318518728
Raúl Jiménez,Premier League,2020-21,2.360906094312668,2.360906094312668,0.6329620033502579,6,3.684073407202959,1.2332109939306974
Romain Saiss,Premier League,2020-21,3.169141403399408,3.169141403399408,0.6693506045266986,5,4.751172102987766,3.912272027693689
Rui Patrício,Premier League,2020-21,0.0,0.0,0.0,0,1.2272863080725074,1.2272863080725074
