player_id,player,team,league,season,age,nationality,minutes,goals_per90,assists_per90,ga_nopk_per90,shots,shots_on_target,goals_per_shot,tackles,interceptions,fouls_drawn,crosses_per90,progressive_passes_per90,key_passes_per90,pass_completion_pct,sca_per90,passes_final_third_total,xa_per90,np_xg_per90,xg_chain,xg_buildup,cluster,pc1,pc2,similarity_to_kroos
Alejandro Blesa_2019-20,Alejandro Blesa,Levante,La Liga,2019-20,17,ESP,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Alejandro Pozo Pozo_2019-20,Alejandro Pozo Pozo,Mallorca,La Liga,2019-20,20,ESP,1498,0.06,0.12,0.18,0.42,0.12,0.14,1.5663,1.3855,1.0241,4.1566,0.1391,0.0538,74.6,2.22,33.0,0.0,0.0,0.0,0.0,1.0,-1.8229,0.1653,0.6019
Aleksandar Trajkovski_2019-20,Aleksandar Trajkovski,Mallorca,La Liga,2019-20,26,MKD,330,0.0,0.0,0.0,2.73,1.09,0.0,0.2703,1.0811,2.4324,7.2973,0.3117,0.2727,74.4,6.8,9.0,0.2274,0.1062,0.8371022008359432,0.3794243019074201,,,,
Aleksandr Golovin_2019-20,Aleksandr Golovin,Monaco,Ligue 1,2019-20,23,RUS,2061,0.13,0.17,0.31,1.66,0.61,0.08,1.179,1.2664,1.5284,5.5459,0.248,0.0803,75.3,4.02,102.0,0.2092,0.1526,11.830648116767406,6.699599338695407,0.0,0.9045,1.7686,0.7727
Alessandro Deiola_2019-20,Alessandro Deiola,Lecce,Serie A,2019-20,23,ITA,717,0.13,0.13,0.25,1.13,0.25,0.11,1.0,0.875,1.0,1.25,0.3389,0.1004,75.3,1.88,19.0,0.0346,0.0387,1.7175990659743547,1.3169358242303133,,,,
Alessandro Florenzi_2019-20,Alessandro Florenzi,Roma,Serie A,2019-20,28,ITA,997,0.0,0.09,0.09,1.26,0.18,0.0,0.991,1.4414,1.0811,2.6126,0.5158,0.0774,80.7,2.71,55.0,0.1727,0.0387,5.736080728471279,4.3848880380392075,0.0,-0.7419,4.0184,0.7753
Alessandro Florenzi_2019-20,Alessandro Florenzi,Valencia,La Liga,2019-20,28,ITA,752,0.0,0.0,0.0,0.96,0.12,0.0,1.0714,1.7857,0.5952,3.5714,0.2892,0.0399,74.6,1.08,21.0,0.1074,0.0706,1.808441590517759,0.7583826072514057,0.0,-0.7419,4.0184,0.7753
Alessandro Murgia_2019-20,Alessandro Murgia,SPAL,Serie A,2019-20,22,ITA,1750,0.0,0.05,0.05,1.23,0.31,0.0,0.8247,0.9794,1.134,4.2784,0.1193,0.0617,83.1,2.98,66.0,0.0983,0.1175,3.7391941603273153,1.434053690172732,0.0,-0.4694,0.1053,0.6699
Alessandro Schöpf_2019-20,Alessandro Schöpf,Schalke 04,Bundesliga,2019-20,25,AUT,1432,0.0,0.06,0.06,0.94,0.25,0.0,1.1321,1.5094,1.1321,1.0063,0.1428,0.0314,80.4,2.14,33.0,0.0678,0.0815,4.150787480175495,2.360913016833365,1.0,-1.6171,-0.095,0.6328
Alex Iwobi_2019-20,Alex Iwobi,Everton,Premier League,2019-20,23,NGA,1596,0.06,0.0,0.06,1.3,0.56,0.04,1.0169,0.7345,0.226,2.7119,0.2391,0.0541,74.9,3.05,50.0,0.1257,0.14,7.12299270182848,3.2983944192528725,0.0,-0.1657,0.4152,0.707
